[30-40),Work-class, 77516, 4, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, 0
[40-50),Work-class, 34007, 8, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, 1
[40-50),Work-class, 255014, 7, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 55, United-States, 1
[30-40),Work-class, 152667, 7, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 35, United-States, 0
[20-30),Work-class, 231053, 8, 9, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 30, United-States, 0
[30-40),Work-class, 103651, 7, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, 1
[50-60),Work-class, 124137, 7, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, 1
[30-40),Work-class, 198183, 5, 11, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, 0
[20-30),Work-class, 183627, 8, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 3137, 0, 48, Ireland, 0
[10-20),Work-class, 466458, 7, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 20, United-States, 0
[40-50),Work-class, 114396, 4, 13, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 35, United-States, 0
[40-50),Work-class, 186376, 4, 13, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male, 0, 0, 72, Philippines, 1
[30-40),Work-class, 290964, 4, 13, Never-married, Sales, Not-in-family, White, Female, 0, 1590, 40, United-States, 0
[90-100),Work-class, 282095, 7, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States, 0
[40-50),Work-class, 244974, 4, 13, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 44, United-States, 1
[30-40),Work-class, 114691, 8, 9, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, 1
[30-40),Work-class, 107160, 9, 8, Separated, Other-service, Not-in-family, White, Female, 0, 0, 30, United-States, 0
[30-40),Work-class, 142573, 7, 10, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 25, United-States, 0
[20-30),Work-class, 203833, 4, 13, Never-married, Prof-specialty, Not-in-family, Black, Male, 0, 0, 40, United-States, 0
[20-30),Work-class, 47791, 8, 9, Never-married, Other-service, Unmarried, White, Female, 0, 0, 32, United-States, 0
[40-50),Work-class, 133729, 7, 10, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 17, United-States, 0
[50-60),Work-class, 135803, 4, 13, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male, 15024, 0, 60, South, 1
[30-40),Work-class, 128591, 12, 5, Divorced, Transport-moving, Not-in-family, White, Male, 0, 0, 40, United-States, 0
[40-50),Work-class, 133853, 7, 10, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 50, United-States, 0
[20-30),Work-class, 243569, 8, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, 0
[20-30),Work-class, 119156, 8, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States, 0
[30-40),Work-class, 391114, 8, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 60, United-States, 0
[20-30),Work-class, 252506, 7, 10, Divorced, Exec-managerial, Own-child, White, Female, 0, 0, 40, United-States, 0
[30-40),Work-class, 117503, 4, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 20, Italy, 0
[20-30),Work-class, 117833, 7, 10, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 19, United-States, 0
[30-40),Work-class, 294183, 8, 9, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States, 0
[20-30),Work-class, 394927, 7, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, 1
[50-60),Work-class, 259323, 8, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 70, United-States, 0
[30-40),Work-class, 96635, 7, 10, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male, 0, 0, 26, South, 0
[20-30),Work-class, 192283, 5, 11, Never-married, Handlers-cleaners, Own-child, White, Female, 0, 0, 38, United-States, 0
[20-30),Work-class, 214881, 8, 9, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, 0
[30-40),Work-class, 167474, 11, 6, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, 0
[30-40),Work-class, 110713, 8, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, 1
[20-30),Work-class, 201204, 8, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States, 0
[20-30),Work-class, 197666, 4, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, 0
[20-30),Work-class, 162002, 8, 9, Never-married, Other-service, Own-child, White, Female, 0, 0, 35, United-States, 0
[30-40),Work-class, 263561, 4, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 2246, 45, United-States, 1
[40-50),Work-class, 224799, 7, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, 0
[40-50),Work-class, 89942, 7, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, 0
[20-30),Work-class, 238685, 7, 10, Never-married, Sales, Not-in-family, White, Female, 0, 0, 30, United-States, 0
[50-60),Work-class, 38795, 12, 5, Separated, Craft-repair, Unmarried, White, Male, 0, 0, 40, United-States, 0
[50-60),Work-class, 90414, 4, 13, Married-spouse-absent, Craft-repair, Unmarried, White, Female, 0, 0, 55, Ireland, 0
[20-30),Work-class, 190805, 8, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 32, United-States, 0
[50-60),Work-class, 23780, 5, 11, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 45, United-States, 1
[10-20),Work-class, 285263, 8, 9, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States, 0
[30-40),Work-class, 177331, 5, 11, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 40, United-States, 0
[20-30),Work-class, 347530, 8, 9, Separated, Other-service, Unmarried, Black, Female, 0, 0, 35, United-States, 0
[50-60),Work-class, 230039, 8, 9, Never-married, Exec-managerial, Unmarried, White, Female, 0, 625, 38, United-States, 0
[30-40),Work-class, 204752, 9, 8, Never-married, Sales, Own-child, White, Male, 0, 0, 32, United-States, 0
[70-80),Work-class, 104001, 8, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, 1
[40-50),Work-class, 253116, 11, 6, Divorced, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, 0
[30-40),Work-class, 169037, 8, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, 0
[30-40),Work-class, 202027, 7, 10, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 60, United-States, 0
[40-50),Work-class, 170099, 7, 10, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, 0
[40-50),Work-class, 212847, 8, 9, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 85, United-States, 0
[50-60),Work-class, 307392, 3, 14, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 40, United-States, 0
[30-40),Work-class, 233428, 8, 9, Divorced, Exec-managerial, Other-relative, White, Female, 0, 0, 40, United-States, 0
[40-50),Work-class, 355728, 7, 10, Separated, Exec-managerial, Not-in-family, White, Male, 0, 1980, 45, England, 0
[50-60),Work-class, 177995, 15, 2, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 56, Mexico, 1
[20-30),Work-class, 283613, 4, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 43, United-States, 0
[50-60),Work-class, 184598, 12, 5, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 99, United-States, 0
[20-30),Work-class, 185647, 8, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 50, United-States, 1
[40-50),Work-class, 192894, 4, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1902, 45, United-States, 1
[40-50),Work-class, 284706, 2, 15, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male, 0, 1977, 60, United-States, 1
[30-40),Work-class, 179579, 8, 9, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, 0
[20-30),Work-class, 131679, 5, 11, Divorced, Sales, Not-in-family, White, Female, 0, 0, 40, United-States, 0
[50-60),Work-class, 132973, 8, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 38, United-States, 0
[20-30),Work-class, 154713, 8, 9, Divorced, Sales, Own-child, White, Male, 0, 0, 40, United-States, 0
[40-50),Work-class, 121718, 7, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, Italy, 0
[30-40),Work-class, 255279, 8, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 20, United-States, 0
[50-60),Work-class, 202559, 4, 13, Married-civ-spouse, Other-service, Other-relative, Asian-Pac-Islander, Male, 0, 0, 35, Philippines, 0
[20-30),Work-class, 123095, 7, 10, Never-married, Adm-clerical, Own-child, White, Male, 0, 1590, 40, United-States, 0
[30-40),Work-class, 153326, 4, 13, Married-civ-spouse, Prof-specialty, Other-relative, White, Male, 0, 0, 40, United-States, 0
[20-30),Work-class, 75695, 7, 10, Separated, Other-service, Not-in-family, White, Female, 0, 0, 60, United-States, 0
[30-40),Work-class, 206609, 8, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, 0
[10-20),Work-class, 234780, 8, 9, Never-married, Farming-fishing, Own-child, Black, Male, 0, 0, 40, United-States, 0
[20-30),Work-class, 178778, 8, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, 0
[50-60),Work-class, 171355, 5, 11, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 20, United-States, 0
[60-70),Work-class, 95680, 7, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 18, United-States, 1
[30-40),Work-class, 196673, 8, 9, Married-civ-spouse, Other-service, Wife, White, Female, 5013, 0, 40, United-States, 0
[50-60),Work-class, 73670, 1, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 4386, 0, 52, United-States, 1
[60-70),Work-class, 139960, 13, 4, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, 0
[20-30),Work-class, 60374, 8, 9, Widowed, Craft-repair, Unmarried, White, Female, 0, 1594, 26, United-States, 0
[50-60),Work-class, 421561, 3, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, 1
[50-60),Work-class, 245196, 11, 6, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 40, United-States, 1
[10-20),Work-class, 27620, 8, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 25, United-States, 0
[10-20),Work-class, 187570, 8, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 20, United-States, 0
[30-40),Work-class, 102884, 8, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 50, United-States, 0
[10-20),Work-class, 228399, 10, 7, Never-married, Other-service, Own-child, White, Female, 0, 0, 7, United-States, 0
[40-50),Work-class, 340234, 8, 9, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male, 15024, 0, 40, United-States, 1
[30-40),Work-class, 176293, 7, 10, Married-spouse-absent, Prof-specialty, Not-in-family, White, Female, 0, 0, 30, United-States, 0
[50-60),Work-class, 108435, 8, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, 0
[40-50),Work-class, 161187, 8, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 2463, 0, 40, United-States, 0
[20-30),Work-class, 278391, 8, 9, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 40, United-States, 0
[20-30),Work-class, 157941, 5, 11, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 45, United-States, 0
[20-30),Work-class, 182866, 8, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States, 0
[60-70),Work-class, 370888, 6, 12, Divorced, Adm-clerical, Not-in-family, White, Female, 2964, 0, 6, Germany, 0
[30-40),Work-class, 206512, 4, 13, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 44, United-States, 0
[30-40),Work-class, 357954, 8, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 35, India, 0
[20-30),Work-class, 189346, 8, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 48, United-States, 0
[40-50),Work-class, 234652, 14, 3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, Mexico, 0
[20-30),Work-class, 113436, 7, 10, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 15, United-States, 0
[30-40),Work-class, 204145, 5, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, 1
[50-60),Work-class, 157305, 16, 1, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, Dominican-Republic, 0
[20-30),Work-class, 104045, 8, 9, Never-married, Other-service, Own-child, White, Female, 0, 0, 30, United-States, 0
[40-50),Work-class, 280422, 7, 10, Separated, Other-service, Not-in-family, White, Female, 0, 0, 25, Peru, 0
[60-70),Work-class, 173754, 8, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, 0
[30-40),Work-class, 211154, 4, 13, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 50, United-States, 0
[20-30),Work-class, 321435, 4, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States, 0
[40-50),Work-class, 177083, 3, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 35, United-States, 0
[40-50),Work-class, 178829, 3, 14, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male, 0, 0, 70, United-States, 1
[30-40),Work-class, 287658, 7, 10, Married-civ-spouse, Protective-serv, Husband, Black, Male, 0, 0, 40, United-States, 1
[40-50),Work-class, 209894, 8, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 40, United-States, 1
[30-40),Work-class, 334744, 8, 9, Separated, Transport-moving, Not-in-family, White, Male, 0, 0, 40, United-States, 0
[20-30),Work-class, 306967, 7, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 25, United-States, 0
[30-40),Work-class, 52187, 7, 10, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 30, United-States, 0
[30-40),Work-class, 101978, 8, 9, Separated, Transport-moving, Not-in-family, White, Male, 0, 0, 50, United-States, 0
[30-40),Work-class, 483530, 7, 10, Divorced, Tech-support, Unmarried, White, Female, 0, 0, 40, United-States, 0
[40-50),Work-class, 77357, 2, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, 1
[50-60),Work-class, 149770, 3, 14, Never-married, Prof-specialty, Unmarried, White, Female, 0, 0, 40, United-States, 0
[40-50),Work-class, 328606, 2, 15, Divorced, Prof-specialty, Unmarried, White, Male, 14084, 0, 63, United-States, 1
[40-50),Work-class, 188293, 8, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, 0
[30-40),Work-class, 116608, 8, 9, Divorced, Machine-op-inspct, Unmarried, White, Female, 0, 0, 38, United-States, 0
[30-40),Work-class, 348960, 4, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 36, United-States, 1
[20-30),Work-class, 329530, 12, 5, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 45, Mexico, 0
[40-50),Work-class, 93476, 4, 13, Separated, Prof-specialty, Not-in-family, White, Female, 0, 0, 70, United-States, 0
[30-40),Work-class, 195744, 8, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 50, United-States, 0
[40-50),Work-class, 125833, 4, 13, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Vietnam, 0
[10-20),Work-class, 191117, 10, 7, Never-married, Other-service, Own-child, White, Male, 0, 0, 20, United-States, 0
[50-60),Work-class, 311020, 8, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 50, United-States, 0
[60-70),Work-class, 210464, 8, 9, Never-married, Other-service, Other-relative, Black, Female, 0, 0, 38, United-States, 0
[30-40),Work-class, 135289, 4, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 48, United-States, 1
[20-30),Work-class, 156266, 12, 5, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male, 0, 0, 40, United-States, 0
[20-30),Work-class, 154210, 7, 10, Never-married, Adm-clerical, Other-relative, Asian-Pac-Islander, Male, 0, 0, 14, Puerto-Rico, 0
[30-40),Work-class, 249249, 14, 3, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, 1
[20-30),Work-class, 261725, 15, 2, Never-married, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, Mexico, 0
[20-30),Work-class, 239612, 8, 9, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 20, United-States, 0
[30-40),Work-class, 226696, 5, 11, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 60, United-States, 1
[20-30),Work-class, 190330, 4, 13, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 30, United-States, 0
[40-50),Work-class, 193755, 4, 13, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 50, United-States, 1
[70-80),Work-class, 192740, 4, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 30, United-States, 0
[40-50),Work-class, 201924, 4, 13, Divorced, Sales, Unmarried, White, Female, 0, 0, 35, United-States, 0
[30-40),Work-class, 77146, 5, 11, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 45, United-States, 0
[20-30),Work-class, 43652, 4, 13, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, 0
[40-50),Work-class, 227244, 4, 13, Married-civ-spouse, Protective-serv, Husband, Black, Male, 0, 0, 50, United-States, 1
[20-30),Work-class, 160731, 8, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, 1
[30-40),Work-class, 287878, 7, 10, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 26, United-States, 0
[50-60),Work-class, 166758, 7, 10, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 15, United-States, 0
[30-40),Work-class, 183811, 8, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 2829, 0, 40, United-States, 0
[40-50),Work-class, 254818, 3, 14, Divorced, Handlers-cleaners, Unmarried, White, Male, 0, 0, 40, Peru, 0
[40-50),Work-class, 295046, 8, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States, 1
[60-70),Work-class, 190568, 8, 9, Widowed, Adm-clerical, Not-in-family, White, Female, 0, 810, 36, United-States, 0
[40-50),Work-class, 211915, 7, 10, Separated, Tech-support, Unmarried, White, Female, 0, 0, 40, United-States, 0
[30-40),Work-class, 295621, 4, 13, Married-civ-spouse, Prof-specialty, Husband, Black, Male, 0, 0, 25, United-States, 1
[30-40),Work-class, 204567, 4, 13, Married-civ-spouse, Sales, Husband, White, Male, 99999, 0, 60, United-States, 1
[40-50),Work-class, 204235, 7, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, 1
[40-50),Work-class, 186982, 7, 10, Separated, Exec-managerial, Not-in-family, White, Female, 0, 0, 45, United-States, 1
[30-40),Work-class, 133586, 8, 9, Married-civ-spouse, Protective-serv, Own-child, White, Male, 0, 0, 45, United-States, 0
[30-40),Work-class, 165930, 7, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, 0
[30-40),Work-class, 164898, 7, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 52, United-States, 0
[20-30),Work-class, 278155, 7, 10, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 30, United-States, 0
[20-30),Work-class, 115705, 7, 10, Never-married, Sales, Not-in-family, White, Male, 0, 0, 50, United-States, 0
[20-30),Work-class, 150553, 12, 5, Married-spouse-absent, Adm-clerical, Unmarried, Asian-Pac-Islander, Female, 0, 0, 40, Vietnam, 0
[20-30),Work-class, 185127, 8, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, 0
[40-50),Work-class, 201595, 8, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 70, United-States, 0
[40-50),Work-class, 165815, 8, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 96, United-States, 0
[20-30),Work-class, 102420, 4, 13, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 40, South, 0
[40-50),Work-class, 344172, 6, 12, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 49, United-States, 1
[30-40),Work-class, 222450, 7, 10, Separated, Exec-managerial, Unmarried, White, Male, 0, 0, 40, United-States, 0
[30-40),Work-class, 212245, 7, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, 0
[20-30),Work-class, 190625, 4, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 20, United-States, 0
[30-40),Work-class, 203488, 7, 10, Divorced, Sales, Not-in-family, White, Male, 0, 0, 40, United-States, 0
[50-60),Work-class, 304260, 6, 12, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male, 0, 0, 40, United-States, 0
[30-40),Work-class, 243665, 8, 9, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 41, United-States, 1
[20-30),Work-class, 189238, 7, 10, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 4, Mexico, 0
[40-50),Work-class, 77373, 7, 10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 38, United-States, 0
[20-30),Work-class, 410351, 8, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, 0
[30-40),Work-class, 36385, 3, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, 1
[60-70),Work-class, 110150, 8, 9, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 40, United-States, 0
[40-50),Work-class, 198316, 7, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, 0
[30-40),Work-class, 127772, 8, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, 0
[40-50),Work-class, 199058, 2, 15, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, 1
[50-60),Work-class, 285730, 3, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 66, United-States, 0
[20-30),Work-class, 334133, 3, 14, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 20, United-States, 0
[60-70),Work-class, 97030, 4, 13, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 35, United-States, 0
[50-60),Work-class, 67090, 8, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 44, United-States, 0
[40-50),Work-class, 397963, 8, 9, Divorced, Handlers-cleaners, Not-in-family, White, Male, 594, 0, 16, United-States, 0
[40-50),Work-class, 182533, 4, 13, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female, 0, 0, 40, Philippines, 0
[10-20),Work-class, 560804, 7, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 30, United-States, 0
[50-60),Work-class, 365050, 13, 4, Never-married, Farming-fishing, Unmarried, Black, Female, 0, 0, 20, United-States, 0
[20-30),Work-class, 110200, 4, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, 0
[30-40),Work-class, 299828, 14, 3, Separated, Sales, Unmarried, Black, Female, 0, 0, 30, Puerto-Rico, 0
[20-30),Work-class, 109282, 7, 10, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, 0
[30-40),Work-class, 103435, 4, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, 1
[20-30),Work-class, 34747, 8, 9, Never-married, Other-service, Own-child, White, Female, 0, 0, 35, United-States, 0
[30-40),Work-class, 286789, 4, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, 1
[20-30),Work-class, 211032, 10, 7, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, Mexico, 0
[30-40),Work-class, 219318, 8, 9, Never-married, Adm-clerical, Unmarried, White, Female, 0, 0, 35, Puerto-Rico, 0
[50-60),Work-class, 112873, 4, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, 0
[30-40),Work-class, 36069, 8, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 3908, 0, 46, United-States, 0
[40-50),Work-class, 73434, 8, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 40, Germany, 1
[50-60),Work-class, 200576, 4, 13, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, 0
[50-60),Work-class, 172962, 8, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, 0
[40-50),Work-class, 44006, 5, 11, Divorced, Transport-moving, Not-in-family, White, Male, 0, 0, 40, United-States, 0
[20-30),Work-class, 234474, 7, 10, Never-married, Sales, Own-child, Black, Female, 0, 0, 20, United-States, 0
[30-40),Work-class, 212826, 8, 9, Married-civ-spouse, Other-service, Husband, Black, Male, 0, 0, 40, United-States, 0
[30-40),Work-class, 234901, 7, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, 0
[50-60),Work-class, 200700, 6, 12, Married-civ-spouse, Farming-fishing, Husband, Black, Male, 0, 0, 40, United-States, 0
[50-60),Work-class, 41258, 4, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, 0
[50-60),Work-class, 249644, 7, 10, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 48, United-States, 1
[20-30),Work-class, 351731, 7, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, 0
[30-40),Work-class, 114765, 7, 10, Never-married, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, United-States, 0
[40-50),Work-class, 349884, 11, 6, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 35, United-States, 0
[20-30),Work-class, 204247, 4, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, 1
[30-40),Work-class, 143392, 8, 9, Never-married, Sales, Own-child, White, Female, 0, 0, 40, United-States, 0
[50-60),Work-class, 37913, 4, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, Italy, 1
[20-30),Work-class, 150683, 8, 9, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 24, United-States, 0
[20-30),Work-class, 207611, 8, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 52, United-States, 0
[40-50),Work-class, 319666, 2, 15, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 43, United-States, 0
[30-40),Work-class, 155961, 8, 9, Divorced, Adm-clerical, Unmarried, Black, Female, 0, 0, 38, United-States, 0
[20-30),Work-class, 117833, 4, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 35, United-States, 0
[20-30),Work-class, 142404, 4, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, 1
